Method,k,Time(s),Speedup,RelativeFroError
BDCSVD,5,0.416036,1,0.967221
PowerMethodSVD,5,0.171752,2.4223,0.967244
RandomizedSVD_Iter1,5,0.0430237,9.66992,0.972429
RandomizedSVD_Iter2,5,0.0127579,32.6101,0.969929
BDCSVD,20,1.19256,1,0.878682
PowerMethodSVD,20,0.726841,1.64074,0.878691
RandomizedSVD_Iter1,20,0.044404,26.857,0.8965
RandomizedSVD_Iter2,20,0.0454503,26.2387,0.887514
BDCSVD,50,0.600208,1,0.721855
PowerMethodSVD,50,1.76796,0.339492,0.721856
RandomizedSVD_Iter1,50,0.0790552,7.59226,0.756533
RandomizedSVD_Iter2,50,0.139995,4.28734,0.737484
BDCSVD,100,1.805,1,0.49395
PowerMethodSVD,100,3.48453,0.518003,0.494032
RandomizedSVD_Iter1,100,0.039873,45.2687,0.535547
RandomizedSVD_Iter2,100,0.0426233,42.3477,0.509381
BDCSVD,200,0.399019,1,4.59803e-15
PowerMethodSVD,200,7.33947,0.0543662,8.76738e-16
RandomizedSVD_Iter1,200,0.0719016,5.54951,3.77518e-15
RandomizedSVD_Iter2,200,0.100158,3.9839,4.32412e-15
